,MP ID,Breed,Gender,Age (years),KIT Pattern,Status,Ki67,AgNOR,AgNOR x Ki67,Slides,Kiupel,Patnaik,Lage,Scanned ,QF
70,MP-20-0013949,Shih TzufS,Fs,12,2,KIT-11,60,2.8,168,4,High,2,,x,98
71,MP-20-0013853,Boxer,Fs,4,2,KIT-11,38,3.2,120.5,4,High,3,,x,98
72,MP-20-0013838,Rhodesian Ridgeback,Mc,10,2,KIT-11,45,3,134.4,4,High,2,,x,97
73,MP-20-0013067,?,?,?,2,KIT-11,36,3,109.1,4,High,3,,x,99
74,MP-20-0012825,Mixed ,?,?,2,KIT-11,40,2.8,110.8,4,Low,3,,x,99
75,MP-20-0011820,Mixed,Fs,16,2,KIT-11,36,2.9,102.8,4,Low,2,sc,x,95
76,MP-20-0011816,Great Dane,Fs,6,2,KIT-11,25,2.6,66.7,4,High,2,,x,86
77,MP-20-0011509,?,?,?,2,KIT-11,30,2.8,83.4,4,Low,2,,x,96
78,MP-20-0008713,Labrador,Fs,7,2,KIT-11,24.5,3.2,78.4,4,Low,2,,x,91
79,MP-20-0008560,Mixed ,Mc,11,2,KIT-11,47,3.6,169.2,4,High,3,,x,92
80,MP-19-0013692,Labrador ,Fs,8,2,KIT-11,41,3.9,159.9,4,High,3,sc,x,98
81,MP-19-0013630,?,?,?,2,KIT-11,9,1.8,16.2,4,Low,2,,x,98
82,MP-19-0013598,Labrador ,Fs,9,2,KIT-11,14,2.2,30.8,4,High,3,,x,97
83,MP-19-0013558,Mixed,Fs,8,2,KIT-11,18,1.8,32.4,4,Low,2,,x,93
84,MP-19-0006084,Golden Retriever,Fs,6,1,KIT-11,10,2.1,21,4,Low,2,sc,x,97
85,MP-19-0006142,Mixed ,Mc,12,2,KIT-11,44,2.6,114.4,4,High,2,,x,97
86,MP-19-0006053,Mixed ,Mc,11,2,KIT-11,18,2.4,43.2,4,Low,2,,x,93
87,MP-19-0005121,?,?,?,1,KIT-11,9,2.1,18.9,4,Low,2,,x,97
88,MP-19-0004982,?,?,11,2,KIT-11,29,2.6,75.4,4,High,2,,x,98
89,MP-19-0004914,Maltese Dog,Mc,8,1,KIT-11,22,2.1,46.2,4,Low,2,,x,98
90,MP-19-0004795,?,?,?,1,KIT-11,7,1.5,10.5,4,Low,2,,x,98
91,MP-19-0004782,Golden Retriver,Mc,5,2,KIT-11,15.6,1.9,29.64,4,Low,2,,x,98
92,MP-19-0004680,Mixed ,Fs,5,2,KIT-11,25.4,2.09,53,4,Low,2,,x,97
93,MP-19-0004621,?,?,?,1,KIT-11,28.2,2.12,59.78,4,Low,2,,x,83
94,MP-19-0004535,Bernese Mountain Dog,Fs,10,2,KIT-11,67,2.12,142,4,High,3,,x,98
95,MP-19-0004525,?,?,?,2,KIT-11,41.8,2.12,88.61,4,Low,2,,x,90
96,MP-21-0013711 ,Bulldog,Fs,10,2,KIT-11,65,,1.6,104,High,2,,x,
97,MP-21-0013300 ,Doberman Pinscher,Fs,6,2,KIT-11,47,2.5,117.5,4,Low,2,,x,
98,MP-21-0013235,Bernese Mountain Dog,Fs,7,2,KIT-11,10,2,20,4,High,2,sc,x,
99,MP-21-0013187 ,Golden Retriever,F ,8,2,KIT-11,76,2.9,255.4,3,High,2,,x,
100,MP-21-0013159 ,Affenpinscher,?,6,2,KIT-11,196,3.2,627.2,4,High,3,,x,
101,MP-21-0013158 ,?,Fs,8,2,KIT-11,38,2,76,4,High,2,,x,
102,MP-21-0013151,?,Mc,10,2,KIT-11,85,3.2,272,4,High,3,,x,
103,MP-21-0013078-1,Mixed ,Fs,?,2,KIT-11,48,2,96,4,Low,2,,x,
104,MP-21-0013078-2,Mixed ,Fs,?,2,KIT-11,29,2.2,63.8,4,High,2,,x,
105,MP-21-0012910 ,Labrador ,Fs,10,2,KIT-11,7,1.8,12.6,4,Low,2,,x,
106,MP-21-0012901 ,Yorkshire Terrier,Mc,11,2,KIT-11,9,1.4,12.6,4,Low,2,,x,
107,MP-21-0012871,?,?,?,2,KIT-11,31,1.8,55.8,4,Low,2,,x,
108,MP-21-0012049 ,"Poodle, Toy",Fs,12,2,KIT-11,48,2.5,120,4,High,2,,x,
109,MP-21-0011216,Mixed ,Fs,12,2,KIT-11,47,1.9,89.3,4,High,2,,x,
110,MP-21-0011186 ,Labrador ,Fs,12,2,KIT-11,47,2,94,4,High,2,,x,
111,MP-21-0011163 ,?,?,9,2,KIT-11,100,2.9,290,4,High,2,,x,
112,MP-21-0011052 ,Labrador ,Fs,4,2,KIT-11,175,2.4,420,4,High,2,,x,
113,MP-21-0010964,Mixed ,Fs,11,2,KIT-11,4,1.6,6.4,2,Low,2,,x,
114,MP-21-0010878,?,?,?,2,KIT-11,60,3.1,186,4,Low,2,,x,
115,MP-21-0007582 ,Mixed ,Mc,8,2,KIT-11,83,3.6,298.8,1,High,3,,x,
116,MP-21-0004476 ,American Pit Bull ,Fs,2,2,KIT-11,57,3,171,4,High,2,,x,
117,MP-21-0004458,Mixed,Fs,8,2,KIT-11,16,1.7,27.2,4,Low,2,,x,
118,MP-21-0004444,?,?,?,2,KIT-11,68,2.5,170,4,Low,2,,x,
119,MP-21-0004320 ,American Pit Bull ,Mc,9,1,KIT-11,16,2.6,42,1,Low,2,,x,
120,MP-21-0004311,Boxer,Fs,5,2,KIT-11,59,1.9,112.1,4,High,3,,x,
121,MP-21-0004299,?,Fs,9,2,KIT-11,36,2.9,105.4,2,High,2,,x,
