,MP ID,Breed,Gender,Age (years),KIT Pattern,KIT 11,Ki67,AgNOR,AgNOR x Ki67,Slides,Kiupel,Patnaik,Lage,Scanned ,QF,Age (y),Validated,HE- Scanned ,Annotated,Für Kit 11-Gruppe,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
35,MP-21-0000852 ,Labrador Retriever,Mc,,2,pos,14,1.8,56.5,4,High,2.0,,,,4,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MP-21-0000659 ,Bichon Frise,Fs,,2,pos,19,2.6,49.4,4,Low,2.0,,,,3,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MP-21-0000648 ,American Pit Bull ,?,,2,pos,39,2.2,85.8,4,High,2.0,,,,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MP-21-0000604,?,Mc,,2,pos,16,1.5,24.0,4,Low,2.0,,,,9,sc,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MP-21-0000585,Maltese Dog,Fs,,2,pos,10,1.6,16.0,4,High,2.0,,,,4,sc,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MP-21-0000518,?,Fs,,2,pos,35,2.0,70.0,4,High,2.0,,,,7,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MP-20-0014084,Maltese Dog,Fs,,2,pos,85,2.2,187.0,4,High,3.0,,,,7,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MP-20-0012053,Mixed,Mc,,2,pos,12,2.4,28.8,4,High,3.0,,,,9,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MP-20-0009016,Poodle,Mc,,2,pos,11,1.8,19.8,4,Low,2.0,,,,10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MP-20-0008986 ,French Bulldog,Mc,,2,pos,45,2.0,90.0,4,High,2.0,,,,6,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
